Age,Country,EdLevel,WorkExp,YearsCode,Employment,RemoteWork,OrgSize,Industry,ICorPM,NewRole,PurchaseInfluence,LearnCodeAI,ToolCountWork,ToolCountPersonal,AIThreat,AIFrustration,AISent,AIComplex,AIAgentChange,ConvertedCompYearly,JobSat
25-34 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6.0,6.0,Employed,Remote,20 to 99 employees,Higher Education,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I didn't spend time learning in the past year",13.0,5.0,Yes,"AI solutions that are almost right, but not quite",Favorable,Very poor at handling complex tasks,"Yes, to a great extent",81210.0,8.0
25-34 years old,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,10.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,Healthcare,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,2.0,Yes,"AI solutions that are almost right, but not quite",Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",15320.0,5.0
45-54 years old,Czech Republic,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35.0,35.0,Employed,In-person,Less than 20 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",8.0,5.0,No,"AI solutions that are almost right, but not quite",Very favorable,Neither good or bad at handling complex tasks,Not at all or minimally,77987.0,10.0
25-34 years old,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,12.0,"Independent contractor, freelancer, or self-employed",Remote,"Just me - I am a freelancer, sole proprietor, etc.",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",3.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly",Unfavorable,Very poor at handling complex tasks,"No, but my development work has changed somewhat due to non-AI factors",77987.0,8.0
25-34 years old,Indonesia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,8.0,Employed,In-person,100 to 499 employees,Software Development,People manager,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,5.0,Yes,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Very favorable,"Good, but not great at handling complex tasks",Not at all or minimally,539.0,7.0
45-54 years old,Pakistan,Some college/university study without earning a degree,25.0,28.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",8.0,6.0,I'm not sure,"AI solutions that are almost right, but not quite",Favorable,"Good, but not great at handling complex tasks","Yes, somewhat",55645.0,7.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,30.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Fintech,People manager,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",20.0,5.0,No,Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving,Indifferent,Very poor at handling complex tasks,Not at all or minimally,149756.0,8.0
35-44 years old,Croatia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",15.0,17.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees","Internet, Telecomm or Information Services",Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Indifferent,Bad at handling complex tasks,Not at all or minimally,3214.0,5.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,24.0,Employed,Remote,500 to 999 employees,Software Development,People manager,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Indifferent,Bad at handling complex tasks,Not at all or minimally,190000.0,4.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,11.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",500 to 999 employees,Media & Advertising Services,Not Specified,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;Other (write in):;It’s hard to understand how or why the code works",Favorable,Bad at handling complex tasks,"Yes, somewhat",126000.0,8.0
25-34 years old,India,Other (please specify):,9.0,9.0,Employed,In-person,100 to 499 employees,Software Development,People manager,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",13949.0,7.0
35-44 years old,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,24.0,Employed,"Hybrid (some remote, leans heavy to in-person)",500 to 999 employees,Banking/Financial Services,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",6.0,5.0,No,Other (write in):,Favorable,Very poor at handling complex tasks,"Yes, somewhat",123518.0,3.0
25-34 years old,Australia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,15.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)","1,000 to 4,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",20.0,20.0,Yes,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,"Yes, somewhat",102715.0,8.0
35-44 years old,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,13.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)","1,000 to 4,999 employees",Software Development,People manager,I have transitioned into a new career and/or industry voluntarily,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",3.0,5.0,No,"AI solutions that are almost right, but not quite",Unsure,Very poor at handling complex tasks,Not at all or minimally,107894.0,9.0
25-34 years old,Poland,Some college/university study without earning a degree,13.0,15.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees","Internet, Telecomm or Information Services",Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,Not at all or minimally,54580.0,5.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25.0,35.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Favorable,Bad at handling complex tasks,Not at all or minimally,122527.0,10.0
25-34 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,18.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",4.0,4.0,No,I don’t use AI tools regularly,Very unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,27844.0,8.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,36.0,42.0,Employed,In-person,100 to 499 employees,Manufacturing,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",8.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,70794.0,6.0
35-44 years old,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,27.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",3.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,Not at all or minimally,138754.0,9.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,8.0,Employed,Remote,20 to 99 employees,Fintech,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,I'm not sure,Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works,Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",46496.0,8.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,10.0,Employed,In-person,Less than 20 employees,Software Development,Individual contributor,I have transitioned into a new career and/or industry voluntarily,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5.0,5.0,No,I don’t use AI tools regularly,Favorable,Very poor at handling complex tasks,Not at all or minimally,77987.0,10.0
18-24 years old,India,Some college/university study without earning a degree,3.0,4.0,Employed,In-person,20 to 99 employees,Software Development,Individual contributor,I have transitioned into a new career and/or industry voluntarily,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",8.0,8.0,I'm not sure,"AI solutions that are almost right, but not quite;I haven’t encountered any problems",Favorable,Neither good or bad at handling complex tasks,Not at all or minimally,77987.0,6.0
25-34 years old,Netherlands,"Associate degree (A.A., A.S., etc.)",16.0,22.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,I haven’t encountered any problems,Favorable,Very poor at handling complex tasks,Not at all or minimally,116015.0,9.0
25-34 years old,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6.0,9.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Manufacturing,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",15.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Favorable,"Good, but not great at handling complex tasks",Not at all or minimally,34804.0,6.0
35-44 years old,Estonia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,1.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,Higher Education,Not Specified,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,Not Specified,53367.0,8.0
25-34 years old,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,15.0,"Independent contractor, freelancer, or self-employed",Remote,Less than 20 employees,Fintech,People manager,I have transitioned into a new career and/or industry voluntarily,"Yes, I endorsed a tool that was ultimately not purchased or used at my organization","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,Yes,Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works,Favorable,Very poor at handling complex tasks,"Yes, somewhat",50000.0,7.0
25-34 years old,Portugal,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,10.0,Employed,Remote,20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,2.0,No,"AI solutions that are almost right, but not quite",Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",62648.0,10.0
45-54 years old,Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",30.0,40.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",Less than 20 employees,"Internet, Telecomm or Information Services",Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,Not at all or minimally,92812.0,9.0
45-54 years old,Germany,Some college/university study without earning a degree,26.0,28.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)","10,000 or more employees",Software Development,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",30.0,15.0,No,"AI solutions that are almost right, but not quite",Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",110214.0,8.0
35-44 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,24.0,Employed,Remote,100 to 499 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,"Yes, somewhat",77987.0,6.0
25-34 years old,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,9.0,Employed,In-person,Less than 20 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,6.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,65054.0,5.0
25-34 years old,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,10.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Favorable,Very poor at handling complex tasks,"Yes, somewhat",58946.0,9.0
55-64 years old,Australia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,30.0,Employed,Remote,"10,000 or more employees","Internet, Telecomm or Information Services",Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",4.0,4.0,No,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,Not at all or minimally,162523.0,8.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,26.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,Very poor at handling complex tasks,"No, but my development work has significantly changed due to non-AI factors",142949.0,8.0
35-44 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,24.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Software Development,People manager,I have strongly considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5.0,0.0,No,I don’t use AI tools regularly,Unfavorable,Very poor at handling complex tasks,Not at all or minimally,98102.0,6.0
18-24 years old,Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,7.0,"Independent contractor, freelancer, or self-employed","Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Media & Advertising Services,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,4.0,I'm not sure,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Favorable,Neither good or bad at handling complex tasks,"Yes, to a great extent",16850.0,7.0
25-34 years old,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,16.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Energy,People manager,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,4.0,No,Debugging AI-generated code is more time-consuming,Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",174022.0,9.0
45-54 years old,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,30.0,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Higher Education,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly",Very unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,77987.0,8.0
35-44 years old,Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,19.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have strongly considered changing my career and/or the industry I work in,No,"No, I didn't spend time learning in the past year",11.0,5.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I don’t use AI tools regularly",Unfavorable,Very poor at handling complex tasks,Not at all or minimally,162421.0,3.0
55-64 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,35.0,Employed,Remote,"10,000 or more employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",3.0,3.0,Yes,Debugging AI-generated code is more time-consuming,Indifferent,Neither good or bad at handling complex tasks,Not at all or minimally,77987.0,3.0
25-34 years old,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,8.0,Employed,"Hybrid (some remote, leans heavy to in-person)",I don’t know,Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I didn't spend time learning in the past year",2.0,3.0,I'm not sure,I don’t use AI tools regularly,Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",77987.0,5.0
18-24 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,10.0,Employed,"Hybrid (some remote, leans heavy to in-person)","10,000 or more employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a tool that more than five colleagues use but it is not a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",1.0,4.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving",Indifferent,Bad at handling complex tasks,Not at all or minimally,245055.0,6.0
18-24 years old,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,7.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",500 to 999 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",2.0,1.0,Yes,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Favorable,Neither good or bad at handling complex tasks,"Yes, to a great extent",106013.0,7.0
35-44 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,20.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Banking/Financial Services,Not Specified,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,Neither good or bad at handling complex tasks,Not at all or minimally,77987.0,8.0
25-34 years old,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,10.0,Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Healthcare,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","Yes, I learned how to use AI-enabled tools required for my job or to benefit my career",20.0,10.0,No,"AI solutions that are almost right, but not quite",Favorable,Very poor at handling complex tasks,"Yes, somewhat",69609.0,8.0
18-24 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,6.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;Other (write in):",Indifferent,Very poor at handling complex tasks,"Yes, to a great extent",15764.0,7.0
18-24 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0,6.0,Student,Remote,"Just me - I am a freelancer, sole proprietor, etc.",Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",3.0,8.0,Yes,Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving,Indifferent,Bad at handling complex tasks,"Yes, to a great extent",351.0,0.0
35-44 years old,India,Some college/university study without earning a degree,12.0,15.0,"Independent contractor, freelancer, or self-employed",Remote,I don’t know,Software Development,Individual contributor,I have transitioned into a new career and/or industry involuntarily,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,3.0,Yes,I don’t use AI tools regularly,Unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,77987.0,5.0
35-44 years old,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,15.0,Employed,In-person,20 to 99 employees,"Internet, Telecomm or Information Services",Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",7.0,7.0,I'm not sure,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",34804.0,7.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,14.0,Employed,"Hybrid (some remote, leans heavy to in-person)","10,000 or more employees",Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",6.0,5.0,No,I don’t use AI tools regularly,Unfavorable,Bad at handling complex tasks,"Yes, somewhat",77987.0,6.0
25-34 years old,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,18.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",Software Development,People manager,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,3.0,No,"AI solutions that are almost right, but not quite",Very favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",48726.0,7.0
25-34 years old,Republic of Korea,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,12.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,No,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",29397.0,8.0
35-44 years old,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,30.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I didn't spend time learning in the past year",6.0,5.0,No,Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;Other (write in):;It’s hard to understand how or why the code works,Unfavorable,Very poor at handling complex tasks,Not at all or minimally,63808.0,8.0
35-44 years old,Switzerland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21.0,25.0,Employed,In-person,Less than 20 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5.0,5.0,I'm not sure,I don’t use AI tools regularly,Indifferent,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,77987.0,8.0
35-44 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,26.0,Employed,Remote,"1,000 to 4,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",6.0,5.0,No,"AI solutions that are almost right, but not quite",Indifferent,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,266834.0,5.0
25-34 years old,Argentina,Some college/university study without earning a degree,6.0,6.0,Employed,Remote,100 to 499 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,5.0,No,"AI solutions that are almost right, but not quite",Favorable,Bad at handling complex tasks,"Yes, somewhat",75000.0,8.0
35-44 years old,Czech Republic,Some college/university study without earning a degree,18.0,24.0,Employed,Remote,Less than 20 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"No, I didn't spend time learning in the past year",10.0,5.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very unfavorable,Very poor at handling complex tasks,"Yes, somewhat",77987.0,5.0
25-34 years old,South Korea,"Associate degree (A.A., A.S., etc.)",10.0,12.0,Employed,In-person,20 to 99 employees,Fintech,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,2.0,Yes,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;It’s hard to understand how or why the code works",Favorable,Bad at handling complex tasks,Not at all or minimally,48505.0,6.0
